id,fitness,niche
17280,4,0
12672,4,1
12672,4,1
12672,4,1
4480,3,1
16902,4,2
780,4,3
780,4,3
776,3,3
780,4,3
780,4,3
780,4,3
17153,4,4
17153,4,4
16641,3,4
17153,4,4
17153,4,4
17153,4,4
17153,4,4
17153,4,4
17169,3,4
17153,4,4
17157,3,4
17153,4,4
17217,3,4
17217,3,4
17153,4,4
226,4,5
2160,4,6
2160,4,6
2096,3,6
2160,4,6
1576,4,7
1576,4,7
1576,4,7
1576,4,7
41218,4,8
41218,4,8
41218,4,8
45314,3,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41234,3,8
41218,4,8
41218,4,8
41346,3,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
41218,4,8
32865,4,9
21248,4,10
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
18180,3,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
17156,4,11
25348,3,11
17156,4,11
25348,3,11
17156,4,11
777,4,12
1801,3,12
777,4,12
17473,4,13
17481,3,13
17473,4,13
17473,4,13
41474,4,14
18945,4,15
18945,4,15
18945,4,15
51713,3,15
18945,4,15
1793,4,16
1537,3,16
1793,4,16
1793,4,16
1825,3,16
1793,4,16
1792,3,16
12608,4,17
13120,3,17
12608,4,17
12608,4,17
12608,4,17
12608,4,17
12608,4,17
12608,4,17
12608,4,17
12608,4,17
12608,4,17
12608,4,17
33292,4,18
49920,4,19
49920,4,19
49920,4,19
49952,3,19
49984,3,19
49920,4,19
33536,3,19
49952,3,19
49920,4,19
35360,4,20
35364,3,20
1232,4,21
1124,4,22
1380,3,22
1124,4,22
1124,4,22
1124,4,22
16457,4,23
25092,4,24
57860,3,24
25092,4,24
25092,4,24
25092,4,24
25092,4,24
25092,4,24
25092,4,24
9376,4,25
9376,4,25
17568,4,26
32806,4,27
32806,4,27
32806,4,27
32774,3,27
32806,4,27
32806,4,27
49190,3,27
32802,3,27
32806,4,27
32806,4,27
34884,4,28
34884,4,28
34884,4,28
11296,4,29
16772,4,30
33314,4,31
33888,4,32
102,4,33
8294,3,33
102,4,33
34821,4,34
34821,4,34
34821,4,34
34821,4,34
34821,4,34
225,4,35
2273,3,35
225,4,35
24836,4,36
11008,4,37
17922,4,38
50690,3,38
1128,4,39
1128,4,39
18948,4,40
774,4,41
49666,4,42
49568,3,43
24614,3,44
37252,3,45
2784,3,46
34240,3,47
43394,2,48
57730,2,49
41298,2,50
40480,2,51
