id,fitness,niche
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
336,0.865274,0
320,0.871173,0
16704,0.858418,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
1344,0.854432,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
324,0.858897,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
328,0.856983,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
324,0.858897,0
328,0.856983,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
336,0.865274,0
320,0.871173,0
320,0.871173,0
64,0.862723,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
64,0.862723,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
2368,0.866869,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
832,0.849649,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
328,0.856983,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
322,0.842474,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
322,0.842474,0
320,0.871173,0
320,0.871173,0
256,0.598055,0
320,0.871173,0
1344,0.854432,0
320,0.871173,0
320,0.871173,0
8512,0.851084,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
336,0.865274,0
2368,0.866869,0
320,0.871173,0
320,0.871173,0
4416,0.848533,0
320,0.871173,0
320,0.871173,0
336,0.865274,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
448,0.850925,0
320,0.871173,0
320,0.871173,0
352,0.868941,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
448,0.850925,0
320,0.871173,0
320,0.871173,0
8512,0.851084,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
322,0.842474,0
320,0.871173,0
322,0.842474,0
16704,0.858418,0
352,0.868941,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
352,0.868941,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
324,0.858897,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
64,0.862723,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
2368,0.866869,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
320,0.871173,0
321,0.851084,0
320,0.871173,0
320,0.871173,0
448,0.850925,0
320,0.871173,0
832,0.849649,0
2112,0.862404,1
4448,0.866869,2
452,0.866231,3
1360,0.864318,4
16736,0.862085,5
360,0.860651,6
3392,0.859694,7
1345,0.857143,8
2370,0.856346,9
332,0.855548,10
12608,0.85236,11
90,0.851881,12
2880,0.84933,13
8536,0.854114,14
1858,0.853795,15
274,0.723374,16
259,0.680485,17
260,0.613839,18
