id,fitness,niche
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
8,0.90122,0
136,0.95564,0
392,0.965396,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
200,0.955488,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
140,0.954421,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
168,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
8,0.90122,0
137,0.958994,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
137,0.958994,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
138,0.958079,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
138,0.958079,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
392,0.965396,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
392,0.965396,0
136,0.95564,0
136,0.95564,0
168,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
138,0.958079,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
128,0.932317,0
137,0.958994,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
138,0.958079,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
152,0.951372,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
200,0.955488,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
136,0.95564,0
128,0.932317,0
136,0.95564,0
168,0.95564,0
136,0.95564,0
136,0.95564,0
141,0.960823,1
12,0.934299,2
