index,bitmask,num_features,mean_accuracy,mean_time
1,0000000000000001,1,0.07465104153,0.02775020848
2,0000000000000010,1,0.09277604194,0.01186115437
3,0000000000000011,2,0.1725416663,0.01618819445
4,0000000000000100,1,0.1058593747,0.007073035813
5,0000000000000101,2,0.1908020843,0.01649672471
6,0000000000000110,2,0.2574010417,0.02242839674
7,0000000000000111,3,0.3805885417,0.1083958922
8,0000000000001000,1,0.1116562502,0.00932777542
9,0000000000001001,2,0.2006093734,0.01104469784
10,0000000000001010,2,0.2847604146,0.01106123187
11,0000000000001011,3,0.4139999989,0.08006810112
12,0000000000001100,2,0.2764375,0.02449832199
13,0000000000001101,3,0.4127499992,0.02319963311
14,0000000000001110,3,0.493317713,0.01224958996
15,0000000000001111,4,0.6043854132,0.2663869057
16,0000000000010000,1,0.1191250009,0.08268236159
17,0000000000010001,2,0.196859376,0.01023508993
18,0000000000010010,2,0.2462083329,0.01398529051
19,0000000000010011,3,0.3735729186,0.01113767791
20,0000000000010100,2,0.2537031253,0.02467284247
21,0000000000010101,3,0.3770156242,0.0715148251
22,0000000000010110,3,0.4583541676,0.0111218674
23,0000000000010111,4,0.5631614644,0.01207275791
24,0000000000011000,2,0.2551093749,0.0098441843
25,0000000000011001,3,0.3856302081,0.01160793967
26,0000000000011010,3,0.4898749953,0.01167531172
27,0000000000011011,4,0.6067812499,0.01148904808
28,0000000000011100,3,0.4694479173,0.02569349189
29,0000000000011101,4,0.5862447917,0.01164651665
30,0000000000011110,4,0.654515624,0.01119291849
31,0000000000011111,5,0.736411456,0.2326113
32,0000000000100000,1,0.1197239587,0.009529132949
33,0000000000100001,2,0.2022343748,0.01250153719
34,0000000000100010,2,0.2473333343,0.009953923756
35,0000000000100011,3,0.3878229167,0.01203841995
36,0000000000100100,2,0.2331510424,0.01023428692
37,0000000000100101,3,0.3729218747,0.07896813145
38,0000000000100110,3,0.4204635397,0.01099840848
39,0000000000100111,4,0.5596770849,0.01259603238
40,0000000000101000,2,0.2966666669,0.01013479088
41,0000000000101001,3,0.4314010413,0.01135147054
42,0000000000101010,3,0.5034947973,0.01070332818
43,0000000000101011,4,0.631343754,0.02938304926
44,0000000000101100,3,0.4258020818,0.01101974648
45,0000000000101101,4,0.5558593739,0.01206909478
46,0000000000101110,4,0.6185052134,0.02862668975
47,0000000000101111,5,0.7159739602,0.02815555298
48,0000000000110000,2,0.2753333338,0.02674450053
49,0000000000110001,3,0.3992135413,0.07193946233
50,0000000000110010,3,0.4649531255,0.03040582006
51,0000000000110011,4,0.5862916745,0.01088307332
52,0000000000110100,3,0.4174479125,0.01200282681
53,0000000000110101,4,0.5403489601,0.01120480266
54,0000000000110110,4,0.6013177112,0.02862526104
55,0000000000110111,5,0.6902343798,0.08417089959
56,0000000000111000,3,0.4762135418,0.01064420355
57,0000000000111001,4,0.60256771,0.03237360151
58,0000000000111010,4,0.6721614636,0.01116602815
59,0000000000111011,5,0.7505364604,0.02837300586
60,0000000000111100,4,0.5875104181,0.01147701006
61,0000000000111101,5,0.6839270815,0.02991187572
62,0000000000111110,5,0.7485364601,0.03670142932
63,0000000000111111,6,0.808041662,0.2381384121
64,0000000001000000,1,0.09617187502,0.009656946087
65,0000000001000001,2,0.1923385421,0.01067171554
66,0000000001000010,2,0.2373489593,0.01322371408
67,0000000001000011,3,0.3869114555,0.01137032299
68,0000000001000100,2,0.2259479165,0.02587905194
69,0000000001000101,3,0.3810416628,0.01221493722
70,0000000001000110,3,0.4443229148,0.01229476661
71,0000000001000111,4,0.5763124973,0.0288176568
72,0000000001001000,2,0.2290468747,0.02617510332
73,0000000001001001,3,0.3842499973,0.01121273843
74,0000000001001010,3,0.4838072909,0.08579039341
75,0000000001001011,4,0.61777604,0.011144358
76,0000000001001100,3,0.442135416,0.01103888208
77,0000000001001101,4,0.5900052171,0.01126024645
78,0000000001001110,4,0.6556927133,0.0268141604
79,0000000001001111,5,0.7423854172,0.01571481256
80,0000000001010000,2,0.2388541661,0.0104223188
81,0000000001010001,3,0.3813749999,0.01110840836
82,0000000001010010,3,0.4328489583,0.01320427642
83,0000000001010011,4,0.5715572927,0.01305784142
84,0000000001010100,3,0.4192135427,0.01178501788
85,0000000001010101,4,0.5540937483,0.02915615373
86,0000000001010110,4,0.6248385403,0.02840389626
87,0000000001010111,5,0.7079687435,0.01594508902
88,0000000001011000,3,0.4345624996,0.01092439517
89,0000000001011001,4,0.5786666702,0.07911171042
90,0000000001011010,4,0.6536822878,0.01285475926
91,0000000001011011,5,0.747390626,0.03158274782
92,0000000001011100,4,0.6231979132,0.01179236671
93,0000000001011101,5,0.7228124943,0.02784156066
94,0000000001011110,5,0.7763437498,0.0122736294
95,0000000001011111,6,0.8323645853,0.03141323105
96,0000000001100000,2,0.246067707,0.08276670272
97,0000000001100001,3,0.3966614576,0.07129956153
98,0000000001100010,3,0.4448020831,0.01203986243
99,0000000001100011,4,0.5877656266,0.03814011486
100,0000000001100100,3,0.4133697888,0.01094809853
101,0000000001100101,4,0.5536927078,0.01139284164
102,0000000001100110,4,0.5956666693,0.01202239635
103,0000000001100111,5,0.703036461,0.02826260542
104,0000000001101000,3,0.4543333324,0.02263939838
105,0000000001101001,4,0.6022083312,0.01196812437
106,0000000001101010,4,0.6517031286,0.0116461443
107,0000000001101011,5,0.7524635419,0.01223212294
108,0000000001101100,4,0.5838072896,0.01099869443
109,0000000001101101,5,0.6965416651,0.03097562195
110,0000000001101110,5,0.7387447953,0.01178496124
111,0000000001101111,6,0.8125104178,0.03638330137
112,0000000001110000,3,0.470468753,0.03010258137
113,0000000001110001,4,0.5996302068,0.01149815973
114,0000000001110010,4,0.6410104129,0.01155596494
115,0000000001110011,5,0.729520835,0.01240725731
116,0000000001110100,4,0.5887916666,0.0112441167
117,0000000001110101,5,0.694343755,0.03242305783
118,0000000001110110,5,0.7343437485,0.02906352066
119,0000000001110111,6,0.8018177133,0.01704393874
120,0000000001111000,4,0.6438697875,0.01200556313
121,0000000001111001,5,0.7389687467,0.01237144801
122,0000000001111010,5,0.7835364584,0.01216367446
123,0000000001111011,6,0.8376510404,0.02742599012
124,0000000001111100,5,0.7181041669,0.01221513568
125,0000000001111101,6,0.795494793,0.03305620793
126,0000000001111110,6,0.8307343777,0.03186939145
127,0000000001111111,7,0.878416663,0.309868155
128,0000000010000000,1,0.09244270786,0.01010747405
129,0000000010000001,2,0.1751197907,0.01038877256
130,0000000010000010,2,0.2514635418,0.01010200058
131,0000000010000011,3,0.3995156251,0.01157015489
132,0000000010000100,2,0.2365781255,0.02592713159
133,0000000010000101,3,0.3660572916,0.0109830921
134,0000000010000110,3,0.4983281251,0.02932743472
135,0000000010000111,4,0.6110624988,0.02817074384
136,0000000010001000,2,0.2479166682,0.0105058302
137,0000000010001001,3,0.3868697947,0.0115439244
138,0000000010001010,3,0.5187499952,0.02375656491
139,0000000010001011,4,0.6352083329,0.01120038365
140,0000000010001100,3,0.4774999982,0.0121896592
141,0000000010001101,4,0.5994947962,0.01148573685
142,0000000010001110,4,0.6769479159,0.02926154051
143,0000000010001111,5,0.7511145808,0.01224933675
144,0000000010010000,2,0.2262031259,0.01122848922
145,0000000010010001,3,0.3583385414,0.01122568623
146,0000000010010010,3,0.465723956,0.03372342337
147,0000000010010011,4,0.5871875025,0.02012606215
148,0000000010010100,3,0.4302031239,0.01099848302
149,0000000010010101,4,0.5617916677,0.02881407097
150,0000000010010110,4,0.6602239572,0.01108802226
151,0000000010010111,5,0.737343749,0.02893022803
152,0000000010011000,3,0.4480468733,0.011281877
153,0000000010011001,4,0.5807864554,0.01117686613
154,0000000010011010,4,0.6810364593,0.01175770184
155,0000000010011011,5,0.7603854146,0.02065820608
156,0000000010011100,4,0.6392552089,0.01116612411
157,0000000010011101,5,0.7306458335,0.03176684014
158,0000000010011110,5,0.7863437515,0.01155672921
159,0000000010011111,6,0.8397499956,0.01273184273
160,0000000010100000,2,0.2613958349,0.08228468127
161,0000000010100001,3,0.411890626,0.01103840483
162,0000000010100010,3,0.4797760416,0.01128443918
163,0000000010100011,4,0.6202031281,0.02821572556
164,0000000010100100,3,0.4053072901,0.01185360551
165,0000000010100101,4,0.5553125031,0.03030426282
166,0000000010100110,4,0.6256250013,0.01115776831
167,0000000010100111,5,0.7232031263,0.03005430242
168,0000000010101000,3,0.4755312493,0.01140183466
169,0000000010101001,4,0.6169322897,0.07869342808
170,0000000010101010,4,0.6840312481,0.01264968558
171,0000000010101011,5,0.7656822912,0.02991873148
172,0000000010101100,4,0.6005052105,0.01241676067
173,0000000010101101,5,0.7124635428,0.02730201045
174,0000000010101110,5,0.7600052077,0.01190412403
175,0000000010101111,6,0.8229895849,0.01337578968
176,0000000010110000,3,0.4694114598,0.01141302555
177,0000000010110001,4,0.5986197945,0.01137605397
178,0000000010110010,4,0.6697552036,0.01207909486
179,0000000010110011,5,0.7500260398,0.0126948074
180,0000000010110100,4,0.584947912,0.02870916936
181,0000000010110101,5,0.6913750041,0.01208380892
182,0000000010110110,5,0.7533281222,0.03322869772
183,0000000010110111,6,0.8124791663,0.03070252476
184,0000000010111000,4,0.6539479122,0.01163849523
185,0000000010111001,5,0.7438802086,0.08422002895
186,0000000010111010,5,0.7928593773,0.03049886558
187,0000000010111011,6,0.8448802121,0.02280676004
188,0000000010111100,5,0.7289635353,0.02757881029
189,0000000010111101,6,0.8007187508,0.01283565068
190,0000000010111110,6,0.8400416635,0.01315027638
191,0000000010111111,7,0.8795937467,0.08580835426
192,0000000011000000,2,0.2181875007,0.009856017394
193,0000000011000001,3,0.3794635441,0.02505061537
194,0000000011000010,3,0.4635833316,0.01175107714
195,0000000011000011,4,0.61018751,0.01190411404
196,0000000011000100,3,0.4162916662,0.02755590738
197,0000000011000101,4,0.5684531238,0.01108984003
198,0000000011000110,4,0.6614635456,0.01073600858
199,0000000011000111,5,0.750296874,0.08250257489
200,0000000011001000,3,0.4257864598,0.01161050974
201,0000000011001001,4,0.5853281301,0.01225658931
202,0000000011001010,4,0.6820052061,0.02845484385
203,0000000011001011,5,0.7675572913,0.01268381707
204,0000000011001100,4,0.6172812507,0.02956578671
205,0000000011001101,5,0.7235989626,0.01367424233
206,0000000011001110,5,0.7868645824,0.01261104009
207,0000000011001111,6,0.8400729168,0.02945942903
208,0000000011010000,3,0.405312499,0.01401028316
209,0000000011010001,4,0.555557292,0.01190990972
210,0000000011010010,4,0.6418854166,0.01233578482
211,0000000011010011,5,0.7289531231,0.01223952638
212,0000000011010100,4,0.5929895826,0.02326817316
213,0000000011010101,5,0.7025260404,0.02935479046
214,0000000011010110,5,0.7744895816,0.01324186605
215,0000000011010111,6,0.831078127,0.01319022194
216,0000000011011000,4,0.6153645832,0.03503677959
217,0000000011011001,5,0.7211458348,0.04077329213
218,0000000011011010,5,0.7921666633,0.01254284079
219,0000000011011011,6,0.8469427023,0.032236389
220,0000000011011100,5,0.7473906241,0.01204657371
221,0000000011011101,6,0.8180625048,0.02925568342
222,0000000011011110,6,0.8559635412,0.0286563366
223,0000000011011111,7,0.893093748,0.02139183559
224,0000000011100000,3,0.4501927085,0.01219491567
225,0000000011100001,4,0.6033437494,0.01638668036
226,0000000011100010,4,0.6561875008,0.02007142914
227,0000000011100011,5,0.7569114566,0.02191934895
228,0000000011100100,4,0.580869792,0.01153445814
229,0000000011100101,5,0.7010781243,0.01345784595
230,0000000011100110,5,0.7499791682,0.01300906448
231,0000000011100111,6,0.818145832,0.07631432032
232,0000000011101000,4,0.6297916714,0.0341212505
233,0000000011101001,5,0.7446093801,0.0320008439
234,0000000011101010,5,0.7859010417,0.01263592945
235,0000000011101011,6,0.848864587,0.03047636518
236,0000000011101100,5,0.7209531255,0.01215866307
237,0000000011101101,6,0.8040364552,0.01268208708
238,0000000011101110,6,0.8377187569,0.01308927074
239,0000000011101111,7,0.8829947896,0.03000183403
240,0000000011110000,4,0.6354999989,0.01218639401
241,0000000011110001,5,0.7334114593,0.03025088087
242,0000000011110010,5,0.7837343775,0.01626141195
243,0000000011110011,6,0.8386979178,0.014168586
244,0000000011110100,5,0.7195520829,0.01229345918
245,0000000011110101,6,0.7967916708,0.01278462284
246,0000000011110110,6,0.8376927096,0.01309253159
247,0000000011110111,7,0.8798854128,0.01345790556
248,0000000011111000,5,0.7650520857,0.02633040954
249,0000000011111001,6,0.8325364571,0.08105336293
250,0000000011111010,6,0.8635156248,0.03575931513
251,0000000011111011,7,0.8992864545,0.03767767351
252,0000000011111100,6,0.8147760406,0.02829472133
253,0000000011111101,7,0.8682291713,0.03174693615
254,0000000011111110,7,0.8917812482,0.01338021446
255,0000000011111111,8,0.9200520795,0.2547347629
256,0000000100000000,1,0.09706249973,0.009290057671
257,0000000100000001,2,0.1695572906,0.0101719581
258,0000000100000010,2,0.248270832,0.01174721392
259,0000000100000011,3,0.3691093745,0.02542430384
260,0000000100000100,2,0.2233177084,0.01059463073
261,0000000100000101,3,0.3571666675,0.03843972631
262,0000000100000110,3,0.459791664,0.01073410528
263,0000000100000111,4,0.5922708288,0.03077318222
264,0000000100001000,2,0.2438020846,0.0279464692
265,0000000100001001,3,0.382911454,0.01135120465
266,0000000100001010,3,0.5120468764,0.01181403812
267,0000000100001011,4,0.6284218729,0.02760200796
268,0000000100001100,3,0.4280052111,0.01135432723
269,0000000100001101,4,0.5895416643,0.01127125564
270,0000000100001110,4,0.6737187468,0.04965376455
271,0000000100001111,5,0.759276038,0.0119844919
272,0000000100010000,2,0.2311250013,0.0144080501
273,0000000100010001,3,0.3629739573,0.02622963133
274,0000000100010010,3,0.4441875005,0.01121376434
275,0000000100010011,4,0.5752708297,0.01422287498
276,0000000100010100,3,0.4145052088,0.011846701
277,0000000100010101,4,0.5565000046,0.02995368181
278,0000000100010110,4,0.6363489572,0.01162409276
279,0000000100010111,5,0.725958338,0.08539010212
