Landscape,Average accuracy,Std deviation,Best found accuracy,Best found gene,Global optimum
Triangle,4.0,0.0,4.0,1010000000010100,4.0
Breast,0.970122,0.0,0.970122,111001111,0.970122
Credit,0.89125343,5.46915e-05,0.891263,001110001110111,0.891263
Letter,0.956333,0.0,0.956333,0000011111111111,0.956333
