Landscape,Average accuracy,Std deviation,Best found accuracy,Best found gene,Global optimum
Triangle,4.0,0.0,4.0,0001001100010000,4.0
Breast,0.95638697,0.0027363901,0.966311,100001010,0.970122
Credit,0.87228908,0.0040885582,0.887117,000100001100011,0.891263
Letter,0.947344,0.0,0.947344,0000000111111111,0.956333
