landscape,crossover_rate,mutation_rate,crossover_points,run,seed,best_accuracy,best_gene
breast,0.3,0.01,1,1,1406953481,0.966311,266
breast,0.3,0.01,1,2,3689506462,0.966311,266
breast,0.3,0.01,1,3,3828396425,0.966311,266
breast,0.3,0.01,1,4,3413030441,0.966311,266
breast,0.3,0.05,1,0,1939840887,0.966311,266
breast,0.3,0.05,1,1,1313778606,0.966311,266
breast,0.3,0.05,1,2,1793575079,0.966311,266
breast,0.3,0.05,1,3,1276769253,0.966311,266
breast,0.3,0.05,1,4,1768857386,0.966311,266
breast,0.3,0.15,1,0,314508290,0.966311,266
breast,0.3,0.15,1,1,3937511014,0.966311,266
breast,0.3,0.15,1,2,2891831575,0.966311,266
breast,0.3,0.15,1,3,3113698889,0.966311,266
breast,0.3,0.15,1,4,57024346,0.966311,266
breast,0.7,0.01,1,0,3867468687,0.966311,266
breast,0.7,0.01,1,1,529039758,0.966159,328
breast,0.7,0.01,1,2,1465419413,0.966311,266
breast,0.7,0.01,1,3,879222804,0.966159,328
breast,0.7,0.01,1,4,924477274,0.966311,266
breast,0.7,0.05,1,0,4062917975,0.966311,266
breast,0.7,0.05,1,1,335412132,0.966311,266
breast,0.7,0.05,1,2,3724486053,0.966311,266
breast,0.7,0.05,1,3,1262170037,0.966311,266
breast,0.7,0.05,1,4,600381478,0.966311,266
breast,0.7,0.15,1,0,653671447,0.966311,266
breast,0.7,0.15,1,1,1440616314,0.966311,266
breast,0.7,0.15,1,2,1119183888,0.966311,266
breast,0.7,0.15,1,3,1935561617,0.966311,266
breast,0.7,0.15,1,4,1955857853,0.966311,266
breast,0.05,0.01,2,0,3045060415,0.966311,266
breast,0.05,0.01,2,1,1517505445,0.966311,266
breast,0.05,0.01,2,2,979131013,0.966159,328
breast,0.05,0.01,2,3,595451292,0.966311,266
breast,0.05,0.01,2,4,1082468130,0.966311,266
breast,0.05,0.05,2,0,3143242693,0.966311,266
breast,0.05,0.05,2,1,2455018362,0.966311,266
breast,0.05,0.05,2,2,423286417,0.966311,266
breast,0.05,0.05,2,3,2213872227,0.966311,266
breast,0.05,0.05,2,4,3351913101,0.966311,266
breast,0.05,0.15,2,0,3012376117,0.966311,266
breast,0.05,0.15,2,1,3941820044,0.966311,266
breast,0.05,0.15,2,2,1482631253,0.966311,266
breast,0.05,0.15,2,3,1331529884,0.966311,266
breast,0.05,0.15,2,4,714311640,0.966311,266
breast,0.3,0.01,2,0,2734102475,0.966311,266
breast,0.3,0.01,2,1,1962698197,0.966311,266
breast,0.3,0.01,2,2,2118045166,0.966159,328
breast,0.3,0.01,2,3,2111862957,0.966311,266
breast,0.3,0.01,2,4,2861164560,0.966311,266
breast,0.3,0.05,2,0,1305484496,0.966311,266
breast,0.3,0.05,2,1,4286507389,0.966311,266
breast,0.3,0.05,2,2,4200495871,0.966311,266
breast,0.3,0.05,2,3,2491071254,0.966311,266
breast,0.3,0.05,2,4,1851190855,0.966311,266
breast,0.3,0.15,2,0,2481151541,0.966311,266
breast,0.3,0.15,2,1,1144503973,0.966311,266
breast,0.3,0.15,2,2,2161128791,0.966311,266
breast,0.3,0.15,2,3,3744721662,0.966311,266
breast,0.3,0.15,2,4,400598294,0.966311,266
breast,0.7,0.01,2,0,1934064641,0.966311,266
breast,0.7,0.01,2,1,4014721948,0.966311,266
breast,0.7,0.01,2,2,1711113423,0.966311,266
breast,0.7,0.01,2,3,3678432685,0.966311,266
breast,0.7,0.01,2,4,4269440273,0.966311,266
breast,0.7,0.05,2,0,2247035247,0.966311,266
breast,0.7,0.05,2,1,1707572543,0.966311,266
breast,0.7,0.05,2,2,3219991725,0.966311,266
breast,0.7,0.05,2,3,4022060214,0.966311,266
breast,0.7,0.05,2,4,257527668,0.966311,266
breast,0.7,0.15,2,0,793685173,0.966311,266
breast,0.7,0.15,2,1,2074259111,0.966311,266
breast,0.7,0.15,2,2,3514321305,0.966311,266
breast,0.7,0.15,2,3,697670712,0.966311,266
breast,0.7,0.15,2,4,2983214274,0.966311,266
credit,0.05,0.01,1,0,1814979410,0.886798,6247
credit,0.05,0.01,1,1,3841768722,0.881537,615
credit,0.05,0.01,1,2,1123432630,0.871173,320
credit,0.05,0.01,1,3,3887106898,0.88345,4175
credit,0.05,0.01,1,4,2702388396,0.88345,4175
credit,0.05,0.05,1,0,2440159215,0.887117,2147
credit,0.05,0.05,1,1,4230691161,0.871173,320
credit,0.05,0.05,1,2,2488967403,0.887117,2147
credit,0.05,0.05,1,3,111372842,0.887117,2147
credit,0.05,0.05,1,4,2172931502,0.887117,2147
credit,0.05,0.15,1,0,2589375655,0.887117,2147
credit,0.05,0.15,1,1,523653532,0.887117,2147
credit,0.05,0.15,1,2,3699534450,0.887117,2147
credit,0.05,0.15,1,3,619406288,0.871173,320
credit,0.05,0.15,1,4,241413303,0.887117,2147
credit,0.3,0.01,1,0,727943342,0.883291,5205
credit,0.3,0.01,1,1,2554635920,0.878189,86
credit,0.3,0.01,1,2,1930884193,0.878189,86
credit,0.3,0.01,1,3,377763591,0.871173,320
credit,0.3,0.01,1,4,2234074054,0.88345,4175
credit,0.3,0.05,1,0,333607144,0.887117,2147
credit,0.3,0.05,1,1,1395856931,0.884407,5217
credit,0.3,0.05,1,2,3639612985,0.884407,5217
credit,0.3,0.05,1,3,1242526390,0.878189,86
credit,0.3,0.05,1,4,3468052943,0.878189,86
credit,0.3,0.15,1,0,2477024295,0.887117,2147
credit,0.3,0.15,1,1,740000615,0.878189,86
credit,0.3,0.15,1,2,3122229795,0.887117,2147
credit,0.3,0.15,1,3,3990978896,0.887117,2147
credit,0.3,0.15,1,4,2053904743,0.887117,2147
credit,0.7,0.01,1,0,2977251824,0.886798,6247
credit,0.7,0.01,1,1,3078276513,0.884407,5217
credit,0.7,0.01,1,2,3350318272,0.882015,20563
credit,0.7,0.01,1,3,3437592555,0.887117,2147
credit,0.7,0.01,1,4,2307109070,0.887117,2147
credit,0.7,0.05,1,0,206651450,0.878189,86
credit,0.7,0.05,1,1,1164654721,0.887117,2147
credit,0.7,0.05,1,2,2029789772,0.884407,5217
credit,0.7,0.05,1,3,3260287420,0.887117,2147
credit,0.7,0.05,1,4,2242610944,0.88345,4175
credit,0.7,0.15,1,0,1481572192,0.884407,5217
credit,0.7,0.15,1,1,2852369028,0.887117,2147
credit,0.7,0.15,1,2,2520788251,0.887117,2147
credit,0.7,0.15,1,3,1106918555,0.887117,2147
credit,0.7,0.15,1,4,1999469513,0.878189,86
credit,0.05,0.01,2,0,3923348575,0.887117,2147
credit,0.05,0.01,2,1,1716279172,0.871173,320
credit,0.05,0.01,2,2,2888923367,0.88345,4175
credit,0.05,0.01,2,3,542226023,0.887117,2147
credit,0.05,0.01,2,4,3563389980,0.878189,86
credit,0.05,0.05,2,0,303459433,0.884407,5217
credit,0.05,0.05,2,1,1927005845,0.878189,86
credit,0.05,0.05,2,2,2824992657,0.887117,2147
credit,0.05,0.05,2,3,1458785297,0.871173,320
credit,0.05,0.05,2,4,952187302,0.887117,2147
credit,0.05,0.15,2,0,965383682,0.887117,2147
credit,0.05,0.15,2,1,1290950094,0.884407,5217
credit,0.05,0.15,2,2,989114388,0.887117,2147
credit,0.05,0.15,2,3,4206968600,0.887117,2147
credit,0.05,0.15,2,4,2417771230,0.887117,2147
credit,0.3,0.01,2,0,3492482085,0.884407,5217
credit,0.3,0.01,2,1,3839208522,0.887117,2147
credit,0.3,0.01,2,2,1872996058,0.886798,6247
credit,0.3,0.01,2,3,896192137,0.879943,6225
credit,0.3,0.01,2,4,4269403519,0.884407,5217
credit,0.3,0.05,2,0,1731455007,0.871173,320
credit,0.3,0.05,2,1,1691909386,0.884407,5217
credit,0.3,0.05,2,2,417594041,0.884407,5217
credit,0.3,0.05,2,3,1067756179,0.887117,2147
credit,0.3,0.05,2,4,2730508198,0.884407,5217
credit,0.3,0.15,2,0,3575946431,0.884407,5217
credit,0.3,0.15,2,1,2523303900,0.878189,86
credit,0.3,0.15,2,2,2978801688,0.887117,2147
credit,0.3,0.15,2,3,3922512523,0.884407,5217
credit,0.3,0.15,2,4,925722503,0.887117,2147
credit,0.7,0.01,2,0,3866318408,0.878189,86
credit,0.7,0.01,2,1,2144482983,0.884407,5217
credit,0.7,0.01,2,2,2293246975,0.884407,5217
credit,0.7,0.01,2,3,4181340000,0.884407,5217
credit,0.7,0.01,2,4,1038181174,0.884407,5217
credit,0.7,0.05,2,0,1526137643,0.884407,5217
credit,0.7,0.05,2,1,2416606607,0.887117,2147
credit,0.7,0.05,2,2,2183688204,0.887117,2147
credit,0.7,0.05,2,3,1183303303,0.884407,5217
credit,0.7,0.05,2,4,408898629,0.884407,5217
credit,0.7,0.15,2,0,1203749731,0.887117,2147
credit,0.7,0.15,2,1,1386585458,0.887117,2147
credit,0.7,0.15,2,2,698421171,0.887117,2147
credit,0.7,0.15,2,3,962323710,0.887117,2147
credit,0.7,0.15,2,4,280093943,0.884407,5217
letter,0.05,0.01,1,0,617297432,0.956333,2047
letter,0.05,0.01,1,1,1946088363,0.956333,2047
letter,0.05,0.01,1,2,2428835944,0.956333,2047
letter,0.05,0.01,1,3,803213005,0.956333,2047
letter,0.05,0.01,1,4,2034948113,0.956333,2047
letter,0.05,0.05,1,0,1549565929,0.956333,2047
letter,0.05,0.05,1,1,926418186,0.956333,2047
letter,0.05,0.05,1,2,757207237,0.956333,2047
letter,0.05,0.05,1,3,883054835,0.956333,2047
letter,0.05,0.05,1,4,260193893,0.956333,2047
letter,0.05,0.15,1,0,812384583,0.956333,2047
letter,0.05,0.15,1,1,4216455108,0.956333,2047
letter,0.05,0.15,1,2,4159391002,0.956333,2047
letter,0.05,0.15,1,3,2400051127,0.956333,2047
letter,0.05,0.15,1,4,3358448193,0.956333,2047
letter,0.3,0.01,1,0,2019150034,0.956333,2047
letter,0.3,0.01,1,1,551042299,0.956333,2047
letter,0.3,0.01,1,2,3735815788,0.956333,2047
letter,0.3,0.01,1,3,4047565735,0.956333,2047
letter,0.3,0.01,1,4,1643118066,0.956333,2047
letter,0.3,0.05,1,0,1376021938,0.956333,2047
letter,0.3,0.05,1,1,2578940217,0.956333,2047
letter,0.3,0.05,1,2,4079496363,0.956333,2047
letter,0.3,0.05,1,3,3223472313,0.956333,2047
letter,0.3,0.05,1,4,3248396895,0.956333,2047
letter,0.3,0.15,1,0,3376450368,0.956333,2047
letter,0.3,0.15,1,1,1120650006,0.956333,2047
letter,0.3,0.15,1,2,2335402183,0.956333,2047
letter,0.3,0.15,1,3,1338829524,0.956333,2047
letter,0.3,0.15,1,4,3852838125,0.956333,2047
letter,0.7,0.01,1,0,611856230,0.956333,2047
letter,0.7,0.01,1,1,1935235010,0.956333,2047
letter,0.7,0.01,1,2,1941580088,0.956333,2047
letter,0.7,0.01,1,3,1859071484,0.956333,2047
letter,0.7,0.01,1,4,3129442518,0.956333,2047
letter,0.7,0.05,1,0,1823947370,0.956333,2047
letter,0.7,0.05,1,1,961931594,0.956333,2047
letter,0.7,0.05,1,2,989784192,0.956333,2047
letter,0.7,0.05,1,3,2724168155,0.956333,2047
letter,0.7,0.05,1,4,2361482292,0.956333,2047
letter,0.7,0.15,1,0,1528503035,0.956333,2047
letter,0.7,0.15,1,1,1486590838,0.956333,2047
letter,0.7,0.15,1,2,2190770699,0.956333,2047
letter,0.7,0.15,1,3,22847125,0.956333,2047
letter,0.7,0.15,1,4,1169937415,0.956333,2047
letter,0.05,0.01,2,0,3174380187,0.956333,2047
letter,0.05,0.01,2,1,3578122357,0.956333,2047
letter,0.05,0.01,2,2,1974636542,0.956333,2047
letter,0.05,0.01,2,3,487817392,0.956333,2047
letter,0.05,0.01,2,4,3209070001,0.956333,2047
letter,0.05,0.05,2,0,1135670241,0.956333,2047
letter,0.05,0.05,2,1,1538216427,0.956333,2047
letter,0.05,0.05,2,2,2171418754,0.956333,2047
letter,0.05,0.05,2,3,3030627306,0.956333,2047
letter,0.05,0.05,2,4,1648407998,0.956333,2047
letter,0.05,0.15,2,0,3501190289,0.956333,2047
letter,0.05,0.15,2,1,3635842900,0.956333,2047
letter,0.05,0.15,2,2,1206599215,0.956333,2047
letter,0.05,0.15,2,3,4262038126,0.956333,2047
letter,0.05,0.15,2,4,1615287463,0.956333,2047
letter,0.3,0.01,2,0,765593164,0.956333,2047
letter,0.3,0.01,2,1,1231340050,0.956333,2047
letter,0.3,0.01,2,2,3193994810,0.956333,2047
letter,0.3,0.01,2,3,140643043,0.956333,2047
letter,0.3,0.01,2,4,1664764761,0.956333,2047
letter,0.3,0.05,2,0,2564403388,0.956333,2047
letter,0.3,0.05,2,1,2822239037,0.956333,2047
letter,0.3,0.05,2,2,1225043264,0.956333,2047
letter,0.3,0.05,2,3,3930768994,0.956333,2047
letter,0.3,0.05,2,4,3125648349,0.956333,2047
letter,0.3,0.15,2,0,3371486157,0.956333,2047
letter,0.3,0.15,2,1,464419611,0.956333,2047
letter,0.3,0.15,2,2,3790921680,0.956333,2047
letter,0.3,0.15,2,3,3017235935,0.956333,2047
letter,0.3,0.15,2,4,384961965,0.956333,2047
letter,0.7,0.01,2,0,3087679142,0.956333,2047
letter,0.7,0.01,2,1,3239323692,0.956333,2047
letter,0.7,0.01,2,2,3824730979,0.956333,2047
letter,0.7,0.01,2,3,3919582301,0.956333,2047
letter,0.7,0.01,2,4,3540410306,0.956333,2047
letter,0.7,0.05,2,0,3955585540,0.956333,2047
letter,0.7,0.05,2,1,2964788460,0.956333,2047
letter,0.7,0.05,2,2,4133706163,0.956333,2047
letter,0.7,0.05,2,3,2622556837,0.956333,2047
letter,0.7,0.05,2,4,363783752,0.956333,2047
letter,0.7,0.15,2,0,64822414,0.956333,2047
letter,0.7,0.15,2,1,2797747333,0.956333,2047
letter,0.7,0.15,2,2,1791116452,0.956333,2047
letter,0.7,0.15,2,3,3805180693,0.956333,2047
letter,0.7,0.15,2,4,3622804232,0.956333,2047
