index,bitmask,num_features,accuracy,time,rank,crowding_distance
8671,0010000111011111,9,0.9262031224,0.04718119465,205,0
3062,0000101111110110,9,0.9172812551,0.03816282249,281,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
33465,1000001010111001,7,0.8124374934,0.0301091664,490,0
25599,0110001111111111,12,0.942718748,0.2812820105,228,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
11422,0010110010011110,8,0.8512343783,0.01324295215,468,0
3391,0000110100111111,9,0.9070520811,0.07999931113,341,0
16881,0100000111110001,7,0.8447395843,0.01554155629,470,0
2559,0000100111111111,10,0.9434166681,0.3139924975,82,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
319,0000000100111111,7,0.8859843779,0.01338392997,375,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
5631,0001010111111111,11,0.9439270794,0.2842715196,130,0
33277,1000000111111101,9,0.91580729,0.03697959473,289,0
1015,0000001111110111,9,0.9314479195,0.07937028259,127,0
1527,0000010111110111,9,0.9323437512,0.01511739375,123,0
60,0000000000111100,4,0.5875104181,0.01147701006,511,0
509,0000000111111101,8,0.9177552033,0.08515176387,224,0
31325,0111101001011101,10,0.8231145795,0.03070678952,492,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
8703,0010000111111111,10,0.9418958314,0.3347403528,93,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
17759,0100010101011111,9,0.907552084,0.03163515887,339,0
38271,1001010101111111,11,0.924109377,0.08080058568,308,0
1535,0000010111111111,10,0.9524531197,0.326096992,48,0
255,0000000011111111,8,0.9200520795,0.2547347629,191,0
33565,1000001100011101,7,0.8140468765,0.01438469443,488,0
255,0000000011111111,8,0.9200520795,0.2547347629,195,0
5885,0001011011111101,10,0.8900989573,0.02378603077,429,0
759,0000001011110111,8,0.8965468761,0.02888044709,360,0
17871,0100010111001111,9,0.9125520829,0.08320519445,303,0
509,0000000111111101,8,0.9177552033,0.08515176387,225,0
4567,0001000111010111,8,0.8896302097,0.01607136641,385,0
4479,0001000101111111,9,0.9153020885,0.07954724273,290,0
26073,0110010111011001,9,0.8728593793,0.02858149254,450,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
431,0000000110101111,7,0.8904739562,0.03270644648,358,0
17403,0100001111111011,10,0.9356406257,0.02622512856,161,0
11255,0010101111110111,11,0.9343020786,0.03131126921,241,0
41401,1010000110111001,8,0.8636927102,0.03094044112,451,0
2298,0000100011111010,7,0.8681979142,0.01910100138,437,0
503,0000000111110111,8,0.9223281238,0.02762472827,167,0
33393,1000001001110001,6,0.7035937533,0.02476192403,508,0
10750,0010100111111110,10,0.9253697917,0.07826130232,260,0
487,0000000111100111,7,0.8881249987,0.01317760031,369,0
1271,0000010011110111,8,0.8944687489,0.01630630047,366,0
9918,0010011010111110,9,0.8854531292,0.03846454818,424,0
25085,0110000111111101,10,0.9091614578,0.03670310101,359,0
94,0000000001011110,5,0.7763437498,0.0122736294,499,0
9213,0010001111111101,10,0.9196458347,0.03807398723,297,0
60927,1110110111111111,14,0.9435208365,0.4593920382,304,0
1023,0000001111111111,10,0.9518802017,0.3133281441,54,0
7679,0001110111111111,12,0.9462239631,0.3273988254,183,0
477,0000000111011101,7,0.8873020802,0.08179076808,372,0
8699,0010000111111011,9,0.9326927084,0.05041552827,119,0
10106,0010011101111010,9,0.900171876,0.02856471314,370,0
9037,0010001101001101,7,0.8005416729,0.02975050226,493,0
9214,0010001111111110,10,0.932723958,0.03194659902,188,0
2295,0000100011110111,8,0.8879531231,0.01496319508,394,0
3055,0000101111101111,10,0.9304687493,0.0426057775,222,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
2527,0000100111011111,9,0.927822914,0.03012447641,177,0
35838,1000101111111110,11,0.9374947958,0.03086764953,213,0
255,0000000011111111,8,0.9200520795,0.2547347629,202,0
9211,0010001111111011,10,0.9371770732,0.0326863192,136,0
18422,0100011111110110,10,0.9145729151,0.0166199349,333,0
4091,0000111111111011,11,0.9448906239,0.02973542776,121,0
8574,0010000101111110,8,0.8912291676,0.01785073828,382,0
895,0000001101111111,9,0.9334687423,0.04877520326,105,0
2237,0000100010111101,7,0.8177291621,0.0369306769,487,0
34302,1000010111111110,10,0.9376458321,0.02964102005,131,0
1471,0000010110111111,9,0.9345312584,0.03405733162,98,0
41433,1010000111011001,8,0.8529687487,0.07834027149,465,0
36351,1000110111111111,12,0.9495885391,0.3231290318,149,0
985,0000001111011001,7,0.8819635455,0.02374636781,391,0
238,0000000011101110,6,0.8377187569,0.01308927074,472,0
507,0000000111111011,8,0.9388958346,0.02330194088,62,0
33243,1000000111011011,8,0.9109947868,0.03104505199,282,0
33081,1000000100111001,6,0.7861874979,0.0135554953,498,0
255,0000000011111111,8,0.9200520795,0.2547347629,192,0
502,0000000111110110,7,0.89802083,0.03748041624,319,0
1917,0000011101111101,9,0.9105729181,0.01581070942,316,0
18847,0100100110011111,9,0.9095989577,0.08831627411,325,0
33243,1000000111011011,8,0.9109947868,0.03104505199,283,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
6030,0001011110001110,8,0.8752708398,0.07884246344,435,0
2495,0000100110111111,9,0.9244531281,0.03283696587,220,0
127,0000000001111111,7,0.878416663,0.309868155,407,0
333,0000000101001101,5,0.7446510382,0.01196192269,506,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
28667,0110111111111011,13,0.9435156193,0.08651960921,267,0
3071,0000101111111111,11,0.9480052162,0.2686746875,95,0
369,0000000101110001,5,0.7664739601,0.02140838641,502,0
8791,0010001001010111,7,0.7983333357,0.03032723354,496,0
1503,0000010111011111,9,0.9402083289,0.03177207819,70,0
18943,0100100111111111,11,0.9413385428,0.2837043284,165,0
4602,0001000111111010,8,0.9071770795,0.02787827741,295,0
42463,1010010111011111,11,0.9366354141,0.03320466715,223,0
1535,0000010111111111,10,0.9524531197,0.326096992,46,0
2495,0000100110111111,9,0.9244531281,0.03283696587,216,0
471,0000000111010111,7,0.8929895815,0.0135761092,351,0
33119,1000000101011111,8,0.8997708336,0.0215436859,344,0
18927,0100100111101111,10,0.9234791696,0.03025291557,284,0
383,0000000101111111,8,0.9250624999,0.02753853344,134,0
34927,1000100001101111,8,0.8285052124,0.01356687114,485,0
495,0000000111101111,8,0.9245677106,0.02946845349,153,0
34207,1000010110011111,9,0.9204479177,0.0322330849,249,0
507,0000000111111011,8,0.9388958346,0.02330194088,65,0
4205,0001000001101101,6,0.7091354132,0.01249070358,507,0
2037,0000011111110101,9,0.9048854113,0.02130223205,353,0
490,0000000111101010,6,0.8716822956,0.03121461818,411,0
7670,0001110111110110,10,0.9160937518,0.03344716481,324,0
45055,1010111111111111,14,0.9505833313,0.2948421054,259,0
34047,1000010011111111,10,0.9282187521,0.2840971164,236,0
1526,0000010111110110,8,0.9123385418,0.08324598684,266,0
8703,0010000111111111,10,0.9418958314,0.3347403528,91,0
4989,0001001101111101,9,0.8876979183,0.07841666602,417,0
43247,1010100011101111,10,0.8909322936,0.08629406709,427,0
1533,0000010111111101,9,0.9273333382,0.03091365413,184,0
5631,0001010111111111,11,0.9439270794,0.2842715196,129,0
35669,1000101101010101,8,0.8300572876,0.03751867812,484,0
17919,0100010111111111,11,0.9449322857,0.3932603961,120,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
2527,0000100111011111,9,0.927822914,0.03012447641,180,0
50494,1100010100111110,9,0.8780156244,0.09599763807,440,0
495,0000000111101111,8,0.9245677106,0.02946845349,150,0
16619,0100000011101011,7,0.8463802114,0.0322971649,466,0
4851,0001001011110011,8,0.8628697898,0.02351751691,452,0
33774,1000001111101110,9,0.9119635373,0.01576988221,305,0
11774,0010110111111110,11,0.9330208339,0.03249824245,247,0
2558,0000100111111110,9,0.9257656168,0.03549565398,207,0
16879,0100000111101111,9,0.9170625024,0.03036329849,285,0
34557,1000011011111101,10,0.9007812478,0.0852364141,390,0
8511,0010000100111111,8,0.8832239583,0.07603350724,414,0
471,0000000111010111,7,0.8929895815,0.0135761092,350,0
1023,0000001111111111,10,0.9518802017,0.3133281441,57,0
8891,0010001010111011,8,0.8775260393,0.07658810355,430,0
34268,1000010111011100,8,0.8759583328,0.03167417267,432,0
3577,0000110111111001,9,0.9136770815,0.02803487179,294,0
2495,0000100110111111,9,0.9244531281,0.03283696587,218,0
503,0000000111110111,8,0.9223281238,0.02762472827,168,0
37887,1001001111111111,12,0.9431614596,0.2782786759,221,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
1535,0000010111111111,10,0.9524531197,0.326096992,50,0
955,0000001110111011,8,0.9222812485,0.03457329469,170,0
2519,0000100111010111,8,0.9051874932,0.0830410854,312,0
16639,0100000011111111,9,0.9114895836,0.3154385816,310,0
16631,0100000011110111,8,0.8748593722,0.02992298099,436,0
446,0000000110111110,7,0.9003072903,0.01336788913,301,0
37375,1001000111111111,11,0.9378281273,0.3322284846,212,0
606,0000001001011110,6,0.8267447893,0.02715285146,482,0
507,0000000111111011,8,0.9388958346,0.02330194088,60,0
24831,0110000011111111,10,0.9107812494,0.29889456,354,0
1535,0000010111111111,10,0.9524531197,0.326096992,49,0
2047,0000011111111111,11,0.9563333355,0.3860060126,67,0
4023,0000111110110111,10,0.9196718819,0.0151638047,296,0
29663,0111001111011111,12,0.9337760434,0.02902104351,291,0
32991,1000000011011111,8,0.8945416678,0.01384835329,365,0
35259,1000100110111011,9,0.9186510425,0.02844584361,265,0
16895,0100000111111111,10,0.9371406231,0.3123795064,138,0
5039,0001001110101111,9,0.902510412,0.02869100889,361,0
15803,0011110110111011,11,0.918765625,0.0839514758,343,0
33127,1000000101100111,7,0.8339947928,0.03011276072,480,0
183,0000000010110111,6,0.8124791663,0.03070252476,486,0
487,0000000111100111,7,0.8881249987,0.01317760031,368,0
1535,0000010111111111,10,0.9524531197,0.326096992,47,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
8687,0010000111101111,9,0.9177708346,0.01681502839,277,0
32995,1000000011100011,6,0.7880833354,0.03038535727,497,0
4991,0001001101111111,10,0.924468752,0.02751370886,270,0
18237,0100011100111101,9,0.8619010393,0.08813247341,462,0
17121,0100001011100001,6,0.7013020888,0.01380379219,510,0
4955,0001001101011011,8,0.887447916,0.02833475464,397,0
255,0000000011111111,8,0.9200520795,0.2547347629,197,0
16639,0100000011111111,9,0.9114895836,0.3154385816,311,0
4511,0001000110011111,8,0.8938281257,0.0133365776,371,0
25087,0110000111111111,11,0.9379531313,0.2882472342,210,0
25535,0110001110111111,11,0.9287343733,0.08554507676,287,0
925,0000001110011101,7,0.8664531298,0.01396079088,438,0
52727,1100110111110111,12,0.9370937534,0.04263636121,268,0
607,0000001001011111,7,0.8691614605,0.03066751105,434,0
510,0000000111111110,8,0.9302656278,0.01378987258,90,0
16895,0100000111111111,10,0.9371406231,0.3123795064,146,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
1758,0000011011011110,8,0.9030260406,0.07628620742,327,0
5566,0001010110111110,9,0.9080208316,0.03063018376,334,0
25087,0110000111111111,11,0.9379531313,0.2882472342,211,0
507,0000000111111011,8,0.9388958346,0.02330194088,64,0
18943,0100100111111111,11,0.9413385428,0.2837043284,166,0
37886,1001001111111110,11,0.9304531254,0.03197377757,274,0
510,0000000111111110,8,0.9302656278,0.01378987258,86,0
1534,0000010111111110,9,0.9398333281,0.08571368945,73,0
5053,0001001110111101,9,0.8908906206,0.02502949486,408,0
33263,1000000111101111,9,0.921927087,0.01582795361,237,0
223,0000000011011111,7,0.893093748,0.02139183559,348,0
10198,0010011111010110,9,0.9071718771,0.01379939937,340,0
4863,0001001011111111,10,0.9195156265,0.3339404035,298,0
4007,0000111110100111,9,0.8975989595,0.03204225784,381,0
475,0000000111011011,7,0.9083906263,0.03234558064,243,0
34303,1000010111111111,11,0.9491250049,0.3468233291,83,0
9694,0010010111011110,9,0.9201510474,0.0289159799,254,0
16767,0100000101111111,9,0.9145781249,0.07849469222,292,0
33279,1000000111111111,10,0.9435885437,0.3734880146,76,0
4607,0001000111111111,10,0.9392552078,0.2794617377,112,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
1503,0000010111011111,9,0.9402083289,0.03177207819,71,0
26111,0110010111111111,12,0.9434218742,0.2823008532,215,0
19455,0100101111111111,12,0.9460364562,0.3349232543,186,0
17911,0100010111110111,10,0.9264947902,0.08377040434,253,0
127,0000000001111111,7,0.878416663,0.309868155,406,0
16859,0100000111011011,8,0.9037916679,0.03254615364,322,0
235,0000000011101011,6,0.848864587,0.03047636518,454,0
478,0000000111011110,7,0.9053177126,0.04000321007,275,0
511,0000000111111111,9,0.9473437518,0.2765751937,0,0
2526,0000100111011110,8,0.9041770864,0.03057389025,320,0
37117,1001000011111101,9,0.8648333289,0.03207653982,458,0
6655,0001100111111111,11,0.9416145775,0.2909588832,164,0
1279,0000010011111111,9,0.9310416672,0.3074876787,135,0
