index,bitmask,num_features,accuracy,time,rank,crowding_distance
69,0000000001000101,3,3,3,0,0
53,0000000000110101,4,4,4,0,0
16676,0100000100100100,4,4,4,0,0
12312,0011000000011000,4,4,4,0,0
17412,0100010000000100,3,3,3,0,0
8960,0010001100000000,3,3,3,0,0
10504,0010100100001000,4,4,4,0,0
2084,0000100000100100,3,3,3,0,0
25088,0110001000000000,3,3,3,0,0
18464,0100100000100000,3,3,3,0,0
32800,1000000000100000,2,2,2,0,0
532,0000001000010100,3,3,3,0,0
3584,0000111000000000,3,3,3,0,0
1156,0000010010000100,3,3,3,0,0
267,0000000100001011,4,4,4,0,0
10242,0010100000000010,3,3,3,0,0
386,0000000110000010,3,3,3,0,0
8464,0010000100010000,3,3,3,0,0
480,0000000111100000,4,4,4,0,0
16992,0100001001100000,4,4,4,0,0
17424,0100010000010000,3,3,3,0,0
35104,1000100100100000,4,4,4,0,0
8752,0010001000110000,4,4,4,0,0
200,0000000011001000,3,3,3,0,0
2304,0000100100000000,2,2,2,0,0
34856,1000100000101000,4,4,4,0,0
8226,0010000000100010,3,3,3,0,0
8216,0010000000011000,3,3,3,0,0
20484,0101000000000100,3,3,3,0,0
1156,0000010010000100,3,3,3,0,0
33024,1000000100000000,2,2,2,0,0
32787,1000000000010011,4,4,4,0,0
41032,1010000001001000,4,4,4,0,0
37136,1001000100010000,4,4,4,0,0
20,0000000000010100,2,2,2,0,0
24704,0110000010000000,3,3,3,0,0
8704,0010001000000000,2,2,2,0,0
34840,1000100000011000,4,4,4,0,0
49408,1100000100000000,3,3,3,0,0
530,0000001000010010,3,3,3,0,0
5121,0001010000000001,3,3,3,0,0
16928,0100001000100000,3,3,3,0,0
2112,0000100001000000,2,2,2,0,0
200,0000000011001000,3,3,3,0,0
101,0000000001100101,4,4,4,0,0
705,0000001011000001,4,4,4,0,0
12292,0011000000000100,3,3,3,0,0
101,0000000001100101,4,4,4,0,0
2600,0000101000101000,4,4,4,0,0
784,0000001100010000,3,3,3,0,0
18504,0100100001001000,4,4,4,0,0
18436,0100100000000100,3,3,3,0,0
1025,0000010000000001,2,2,2,0,0
33058,1000000100100010,4,4,4,0,0
2080,0000100000100000,2,2,2,0,0
51200,1100100000000000,3,3,3,0,0
10754,0010101000000010,4,4,4,0,0
12,0000000000001100,2,2,2,0,0
9344,0010010010000000,3,3,3,0,0
34825,1000100000001001,4,4,4,0,0
416,0000000110100000,3,3,3,0,0
1408,0000010110000000,3,3,3,0,0
12294,0011000000000110,4,4,4,0,0
16640,0100000100000000,2,2,2,0,0
66,0000000001000010,2,2,2,0,0
260,0000000100000100,2,2,2,0,0
1050,0000010000011010,4,4,4,0,0
8481,0010000100100001,4,4,4,0,0
36932,1001000001000100,4,4,4,0,0
72,0000000001001000,2,2,2,0,0
769,0000001100000001,3,3,3,0,0
33024,1000000100000000,2,2,2,0,0
4098,0001000000000010,2,2,2,0,0
9216,0010010000000000,2,2,2,0,0
12354,0011000001000010,4,4,4,0,0
9216,0010010000000000,2,2,2,0,0
16800,0100000110100000,4,4,4,0,0
416,0000000110100000,3,3,3,0,0
256,0000000100000000,1,1,1,0,0
97,0000000001100001,3,3,3,0,0
394,0000000110001010,4,4,4,0,0
416,0000000110100000,3,3,3,0,0
51232,1100100000100000,4,4,4,0,0
131,0000000010000011,3,3,3,0,0
512,0000001000000000,1,1,1,0,0
32,0000000000100000,1,1,1,0,0
17026,0100001010000010,4,4,4,0,0
2242,0000100011000010,4,4,4,0,0
4098,0001000000000010,2,2,2,0,0
512,0000001000000000,1,1,1,0,0
306,0000000100110010,4,4,4,0,0
1156,0000010010000100,3,3,3,0,0
11272,0010110000001000,4,4,4,0,0
34840,1000100000011000,4,4,4,0,0
2061,0000100000001101,4,4,4,0,0
2,0000000000000010,1,1,1,0,0
7168,0001110000000000,3,3,3,0,0
21,0000000000010101,3,3,3,0,0
1028,0000010000000100,2,2,2,0,0
10504,0010100100001000,4,4,4,0,0
4098,0001000000000010,2,2,2,0,0
24580,0110000000000100,3,3,3,0,0
10245,0010100000000101,4,4,4,0,0
576,0000001001000000,2,2,2,0,0
11272,0010110000001000,4,4,4,0,0
3073,0000110000000001,3,3,3,0,0
32,0000000000100000,1,1,1,0,0
5137,0001010000010001,4,4,4,0,0
1672,0000011010001000,4,4,4,0,0
9408,0010010011000000,4,4,4,0,0
528,0000001000010000,2,2,2,0,0
256,0000000100000000,1,1,1,0,0
4096,0001000000000000,1,1,1,0,0
41985,1010010000000001,4,4,4,0,0
4176,0001000001010000,3,3,3,0,0
139,0000000010001011,4,4,4,0,0
512,0000001000000000,1,1,1,0,0
20672,0101000011000000,4,4,4,0,0
49408,1100000100000000,3,3,3,0,0
24840,0110000100001000,4,4,4,0,0
16516,0100000010000100,3,3,3,0,0
33060,1000000100100100,4,4,4,0,0
16650,0100000100001010,4,4,4,0,0
9252,0010010000100100,4,4,4,0,0
32817,1000000000110001,4,4,4,0,0
1409,0000010110000001,4,4,4,0,0
9473,0010010100000001,4,4,4,0,0
4227,0001000010000011,4,4,4,0,0
33024,1000000100000000,2,2,2,0,0
2058,0000100000001010,3,3,3,0,0
1,0000000000000001,1,1,1,0,0
768,0000001100000000,2,2,2,0,0
10240,0010100000000000,2,2,2,0,0
41344,1010000110000000,4,4,4,0,0
1,0000000000000001,1,1,1,0,0
4,0000000000000100,1,1,1,0,0
35332,1000101000000100,4,4,4,0,0
536,0000001000011000,3,3,3,0,0
12608,0011000101000000,4,4,4,0,0
49424,1100000100010000,4,4,4,0,0
6154,0001100000001010,4,4,4,0,0
129,0000000010000001,2,2,2,0,0
264,0000000100001000,2,2,2,0,0
3080,0000110000001000,3,3,3,0,0
18,0000000000010010,2,2,2,0,0
17408,0100010000000000,2,2,2,0,0
644,0000001010000100,3,3,3,0,0
4101,0001000000000101,3,3,3,0,0
4352,0001000100000000,2,2,2,0,0
1328,0000010100110000,4,4,4,0,0
2848,0000101100100000,4,4,4,0,0
16640,0100000100000000,2,2,2,0,0
137,0000000010001001,3,3,3,0,0
40960,1010000000000000,2,2,2,0,0
26628,0110100000000100,4,4,4,0,0
1172,0000010010010100,4,4,4,0,0
9282,0010010001000010,4,4,4,0,0
8580,0010000110000100,4,4,4,0,0
32779,1000000000001011,4,4,4,0,0
18048,0100011010000000,4,4,4,0,0
64,0000000001000000,1,1,1,0,0
36880,1001000000010000,3,3,3,0,0
192,0000000011000000,2,2,2,0,0
552,0000001000101000,3,3,3,0,0
33568,1000001100100000,4,4,4,0,0
578,0000001001000010,3,3,3,0,0
26640,0110100000010000,4,4,4,0,0
200,0000000011001000,3,3,3,0,0
10,0000000000001010,2,2,2,0,0
1024,0000010000000000,1,1,1,0,0
512,0000001000000000,1,1,1,0,0
4625,0001001000010001,4,4,4,0,0
96,0000000001100000,2,2,2,0,0
2,0000000000000010,1,1,1,0,0.6666666667
385,0000000110000001,3,3,3,0,0
513,0000001000000001,2,2,2,0,0
1161,0000010010001001,4,4,4,0,0
16928,0100001000100000,3,3,3,0,0
38016,1001010010000000,4,4,4,0,0
5380,0001010100000100,4,4,4,0,0
53,0000000000110101,4,4,4,0,0
128,0000000010000000,1,1,1,0,inf
51,0000000000110011,4,4,4,0,0
3328,0000110100000000,3,3,3,0,0
2089,0000100000101001,4,4,4,0,0
49410,1100000100000010,4,4,4,0,0
35072,1000100100000000,3,3,3,0,0
3336,0000110100001000,4,4,4,0,0
1044,0000010000010100,3,3,3,0,0
4136,0001000000101000,3,3,3,0,0
42,0000000000101010,3,3,3,0,0
1040,0000010000010000,2,2,2,0,0
32908,1000000010001100,4,4,4,0,0
8220,0010000000011100,4,4,4,0,0
768,0000001100000000,2,2,2,0,0
129,0000000010000001,2,2,2,0,0
2192,0000100010010000,3,3,3,0,0
49282,1100000010000010,4,4,4,0,0
4,0000000000000100,1,1,1,0,0
17408,0100010000000000,2,2,2,0,0
30,0000000000011110,4,4,4,0,0
41992,1010010000001000,4,4,4,0,0
17666,0100010100000010,4,4,4,0,0
18945,0100101000000001,4,4,4,0,0
212,0000000011010100,4,4,4,0,0
1376,0000010101100000,4,4,4,0,0
18512,0100100001010000,4,4,4,0,0
25096,0110001000001000,4,4,4,0,0
41248,1010000100100000,4,4,4,0,0
4228,0001000010000100,3,3,3,0,0
3137,0000110001000001,4,4,4,0,0
6150,0001100000000110,4,4,4,0,0
1280,0000010100000000,2,2,2,0,0
12544,0011000100000000,3,3,3,0,0
22656,0101100010000000,4,4,4,0,0
594,0000001001010010,4,4,4,0,0
96,0000000001100000,2,2,2,0,0
2088,0000100000101000,3,3,3,0,0
49664,1100001000000000,3,3,3,0,0
2060,0000100000001100,3,3,3,0,0
35080,1000100100001000,4,4,4,0,0
51200,1100100000000000,3,3,3,0,0
2178,0000100010000010,3,3,3,0,0
9730,0010011000000010,4,4,4,0,0
17024,0100001010000000,3,3,3,0,0
35456,1000101010000000,4,4,4,0,0
1048,0000010000011000,3,3,3,0,0
2434,0000100110000010,4,4,4,0,0
32834,1000000001000010,3,3,3,0,0
12296,0011000000001000,3,3,3,0,0
11,0000000000001011,3,3,3,0,0
3328,0000110100000000,3,3,3,0,0
51200,1100100000000000,3,3,3,0,0
1808,0000011100010000,4,4,4,0,0
9344,0010010010000000,3,3,3,0,0
291,0000000100100011,4,4,4,0,inf
21520,0101010000010000,4,4,4,0,0
16424,0100000000101000,3,3,3,0,0
57600,1110000100000000,4,4,4,0,0
2072,0000100000011000,3,3,3,0,0
164,0000000010100100,3,3,3,0,0
129,0000000010000001,2,2,2,0,0
2097,0000100000110001,4,4,4,0,0
1033,0000010000001001,3,3,3,0,0
33,0000000000100001,2,2,2,0,0
49169,1100000000010001,4,4,4,0,0
36882,1001000000010010,4,4,4,0,0
294,0000000100100110,4,4,4,0,0
8224,0010000000100000,2,2,2,0,0
9348,0010010010000100,4,4,4,0,0
13312,0011010000000000,3,3,3,0,0
4163,0001000001000011,4,4,4,0,0
41024,1010000001000000,3,3,3,0,0
8864,0010001010100000,4,4,4,0,0
33024,1000000100000000,2,2,2,0,0
2208,0000100010100000,3,3,3,0,0.6666666667
40960,1010000000000000,2,2,2,0,0
16425,0100000000101001,4,4,4,0,0
8192,0010000000000000,1,1,1,0,0
784,0000001100010000,3,3,3,0,0
39040,1001100010000000,4,4,4,0,0
17665,0100010100000001,4,4,4,0,0
128,0000000010000000,1,1,1,0,0
1024,0000010000000000,1,1,1,0,0
8353,0010000010100001,4,4,4,0,0
4,0000000000000100,1,1,1,0,0
19008,0100101001000000,4,4,4,0,0
2,0000000000000010,1,1,1,0,0
8192,0010000000000000,1,1,1,0,0
34852,1000100000100100,4,4,4,0,0
33792,1000010000000000,2,2,2,0,0
8192,0010000000000000,1,1,1,0,0
8,0000000000001000,1,1,1,0,0
9736,0010011000001000,4,4,4,0,0
16472,0100000001011000,4,4,4,0,0
512,0000001000000000,1,1,1,0,0
38944,1001100000100000,4,4,4,0,0
20482,0101000000000010,3,3,3,0,0
2113,0000100001000001,3,3,3,0,0
49424,1100000100010000,4,4,4,0,0
896,0000001110000000,3,3,3,0,0
16929,0100001000100001,4,4,4,0,0
12300,0011000000001100,4,4,4,0,0
1024,0000010000000000,1,1,1,0,0
393,0000000110001001,4,4,4,0,0
8,0000000000001000,1,1,1,0,0
16720,0100000101010000,4,4,4,0,0
96,0000000001100000,2,2,2,0,0
195,0000000011000011,4,4,4,0,0
4104,0001000000001000,2,2,2,0,0
1024,0000010000000000,1,1,1,0,0
104,0000000001101000,3,3,3,0,0
8193,0010000000000001,2,2,2,0,0
2053,0000100000000101,3,3,3,0,0
4096,0001000000000000,1,1,1,0,0
32,0000000000100000,1,1,1,0,0
8195,0010000000000011,3,3,3,0,0
1424,0000010110010000,4,4,4,0,0
8256,0010000001000000,2,2,2,0,0
4,0000000000000100,1,1,1,0,0
36880,1001000000010000,3,3,3,0,0
49216,1100000001000000,3,3,3,0,0
1218,0000010011000010,4,4,4,0,0
19,0000000000010011,3,3,3,0,0
8336,0010000010010000,3,3,3,0,0
1154,0000010010000010,3,3,3,0,0
84,0000000001010100,3,3,3,0,0
1168,0000010010010000,3,3,3,0,0
19520,0100110001000000,4,4,4,0,0
3168,0000110001100000,4,4,4,0,0
2057,0000100000001001,3,3,3,0,0
786,0000001100010010,4,4,4,0,0
9344,0010010010000000,3,3,3,0,0
17441,0100010000100001,4,4,4,0,0
1073,0000010000110001,4,4,4,0,0
1046,0000010000010110,4,4,4,0,0
5186,0001010001000010,4,4,4,0,0
33028,1000000100000100,3,3,3,0,0
33154,1000000110000010,4,4,4,0,0
4122,0001000000011010,4,4,4,0,0
12290,0011000000000010,3,3,3,0,0
71,0000000001000111,4,4,4,0,0
42,0000000000101010,3,3,3,0,0
10504,0010100100001000,4,4,4,0,0
12,0000000000001100,2,2,2,0,0
15,0000000000001111,4,4,4,0,0
37904,1001010000010000,4,4,4,0,0
4424,0001000101001000,4,4,4,0,0
32920,1000000010011000,4,4,4,0,0
16457,0100000001001001,4,4,4,0,0
2096,0000100000110000,3,3,3,0,0
21,0000000000010101,3,3,3,0,0
8324,0010000010000100,3,3,3,0,0
3080,0000110000001000,3,3,3,0,0
32932,1000000010100100,4,4,4,0,0
26624,0110100000000000,3,3,3,0,0
1,0000000000000001,1,1,1,0,0
4,0000000000000100,1,1,1,0,0
576,0000001001000000,2,2,2,0,0
34832,1000100000010000,3,3,3,0,0
20560,0101000001010000,4,4,4,0,0
3088,0000110000010000,3,3,3,0,0
4097,0001000000000001,2,2,2,0,0
265,0000000100001001,3,3,3,0,0
16452,0100000001000100,3,3,3,0,0
51200,1100100000000000,3,3,3,0,0
4098,0001000000000010,2,2,2,0,0
4680,0001001001001000,4,4,4,0,0
5120,0001010000000000,2,2,2,0,0
21,0000000000010101,3,3,3,0,0
1153,0000010010000001,3,3,3,0,0
16389,0100000000000101,3,3,3,0,0.6666666667
448,0000000111000000,3,3,3,0,0
