index,bitmask,num_features,accuracy,time,rank,crowding_distance
463,111001111,7,0.9701219536,0.2215583678,0,0
463,111001111,7,0.9701219536,0.2215583678,0,0
463,111001111,7,0.9701219536,0.2215583678,0,0
463,111001111,7,0.9701219536,0.2215583678,0,0.295896174
463,111001111,7,0.9701219536,0.2215583678,0,0
463,111001111,7,0.9701219536,0.2215583678,0,0
463,111001111,7,0.9701219536,0.2215583678,0,0
463,111001111,7,0.9701219536,0.2215583678,0,inf
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0.295896174
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0.03013367655
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0
286,100011110,5,0.9696646333,0.1719646058,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0.03013367655
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0
459,111001011,6,0.9693597592,0.1673336257,0,0.02430001974
299,100101011,5,0.9684451278,0.1646855306,0,0
299,100101011,5,0.9684451278,0.1646855306,0,0.09645812205
299,100101011,5,0.9684451278,0.1646855306,0,0
299,100101011,5,0.9684451278,0.1646855306,0,0
299,100101011,5,0.9684451278,0.1646855306,0,0
299,100101011,5,0.9684451278,0.1646855306,0,0.02430001974
299,100101011,5,0.9684451278,0.1646855306,0,0
394,110001010,4,0.9682926834,0.1485241046,0,0.09645812205
394,110001010,4,0.9682926834,0.1485241046,0,0
394,110001010,4,0.9682926834,0.1485241046,0,0.09297294788
394,110001010,4,0.9682926834,0.1485241046,0,0
394,110001010,4,0.9682926834,0.1485241046,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0.02751908085
266,100001010,3,0.9663109817,0.1359270001,0,0.09297294788
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
266,100001010,3,0.9663109817,0.1359270001,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0.1195143764
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0.02751908085
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
328,101001000,3,0.9661585353,0.1314932012,0,0
170,010101010,4,0.9583841376,0.1237906108,0,0.1195143764
170,010101010,4,0.9583841376,0.1237906108,0,0
170,010101010,4,0.9583841376,0.1237906108,0,0
170,010101010,4,0.9583841376,0.1237906108,0,0
170,010101010,4,0.9583841376,0.1237906108,0,0.03977767534
170,010101010,4,0.9583841376,0.1237906108,0,0
170,010101010,4,0.9583841376,0.1237906108,0,0
170,010101010,4,0.9583841376,0.1237906108,0,0
170,010101010,4,0.9583841376,0.1237906108,0,0
